Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-TKQ1-1026-SM-4GICL_skin_male_30-39_years	2/1519	0.455391041850114530742388296857825480401515960693359375	0.95565512433056820640331352478824555873870849609375	0.392934637559290589337024357519112527370452880859375	0.90740010531958592565615617786534130573272705078125	-0.9116179857513659	0.7170776104546174	ELOVL4;ABCA5
GTEX-PSDG-0826-SM-48TCZ_blood vessel_male_50-59_years	1/637	0.476740434174751814833115304281818680465221405029296875	0.95565512433056820640331352478824555873870849609375	0.43601911326005760027868518591276369988918304443359375	0.90740010531958592565615617786534130573272705078125	-0.9670179958951074	0.7163505881360306	RUSC1
GTEX-VUSG-2826-SM-4KKZM_blood vessel_male_50-59_years	1/609	0.461389826613922970910408594136242754757404327392578125	0.95565512433056820640331352478824555873870849609375	0.421426800478737817456931225024163722991943359375	0.90740010531958592565615617786534130573272705078125	-0.9260594686483274	0.716318095448492	RAB3GAP1
GTEX-R3RS-0726-SM-3GIJR_thyroid_female_40-49_years	3/2491	0.462255955372965210425917348402435891330242156982421875	0.95565512433056820640331352478824555873870849609375	0.38094093883860258298312828628695569932460784912109375	0.90740010531958592565615617786534130573272705078125	-0.9282478133825205	0.7162699173838774	SH3BGRL2;LZTFL1;CCDC28A
GTEX-WRHU-2826-SM-3MJG8_skin_female_50-59_years	2/1478	0.441019109294183031533265193502302281558513641357421875	0.95565512433056820640331352478824555873870849609375	0.379570198186981955235097530021448619663715362548828125	0.90740010531958592565615617786534130573272705078125	-0.8748264363055364	0.7161915977669062	ELOVL4;ABCA5
GTEX-O5YT-0007-SM-32PK7_blood_male_20-29_years	2/1481	0.442076776131369919564662041011615656316280364990234375	0.95565512433056820640331352478824555873870849609375	0.380551340887874178786631773618864826858043670654296875	0.90740010531958592565615617786534130573272705078125	-0.875548210598859	0.7146852353455277	KPNA4;CCDC28A
GTEX-QVUS-0008-SM-447AY_skin_female_60-69_years	3/2433	0.446139695034991401456636594957672059535980224609375	0.95565512433056820640331352478824555873870849609375	0.366146974805075242631602350229513831436634063720703125	0.90740010531958592565615617786534130573272705078125	-0.8821836377710764	0.7120308440394184	UBP1;RAB3GAP1;RAB11FIP5
GTEX-X5EB-0526-SM-46MVP_pancreas_male_40-49_years	1/612	0.4630547718779620680606967653147876262664794921875	0.95565512433056820640331352478824555873870849609375	0.423007092737890888489715734976925887167453765869140625	0.90740010531958592565615617786534130573272705078125	-0.9200034433080375	0.7083197904090278	ABCA5
GTEX-XV7Q-1026-SM-4BRVR_esophagus_female_40-49_years	1/605	0.459162269213121587707604476236156187951564788818359375	0.95565512433056820640331352478824555873870849609375	0.419313406809101396621741741910227574408054351806640625	0.90740010531958592565615617786534130573272705078125	-0.9052715881293202	0.7046195924048203	CADPS2
GTEX-XUYS-0426-SM-47JX3_blood vessel_male_50-59_years	1/634	0.475115826088416570716077558245160616934299468994140625	0.95565512433056820640331352478824555873870849609375	0.434472382319548489082450259957113303244113922119140625	0.90740010531958592565615617786534130573272705078125	-0.9434446069938542	0.7021083256802695	RAB3GAP1
GTEX-OIZH-1526-SM-3NB1J_stomach_male_50-59_years	1/596	0.45411822263337964233897992016864009201526641845703125	0.95565512433056820640331352478824555873870849609375	0.41453167611389807323263312355265952646732330322265625	0.90740010531958592565615617786534130573272705078125	-0.887757411844692	0.7007936702214134	UBP1
GTEX-PSDG-1026-SM-48TCV_blood vessel_male_50-59_years	1/637	0.476740434174751814833115304281818680465221405029296875	0.95565512433056820640331352478824555873870849609375	0.43601911326005760027868518591276369988918304443359375	0.90740010531958592565615617786534130573272705078125	-0.9419617704555308	0.6977893597966393	RAB11FIP5
GTEX-OIZI-0008-SM-2XCFD_skin_male_40-49_years	3/2410	0.439709748161240698838270191117771901190280914306640625	0.95565512433056820640331352478824555873870849609375	0.360276768281606596389110563904978334903717041015625	0.90740010531958592565615617786534130573272705078125	-0.8460623680545581	0.6951590504445927	RARS;UBE3A;RAB3GAP1
GTEX-WL46-3026-SM-3LK7Z_pituitary_male_50-59_years	4/3478	0.4684023184745991219557481599622406065464019775390625	0.95565512433056820640331352478824555873870849609375	0.369962362926880672375773428939282894134521484375	0.90740010531958592565615617786534130573272705078125	-0.9147173214007387	0.6937469519295318	ABCA5;RUSC1;SCAMP1;LZTFL1
GTEX-T6MN-0011-R5A-SM-32QPD_brain_male_50-59_years	3/2456	0.45254811447061260576418817436206154525279998779296875	0.95565512433056820640331352478824555873870849609375	0.372015719745771245019483330906950868666172027587890625	0.90740010531958592565615617786534130573272705078125	-0.8733072857121733	0.692411454809838	GABARAPL1;SCAMP1;CCDC28A
GTEX-O5YV-1626-SM-2YUNJ_blood vessel_female_60-69_years	1/616	0.465267094470554087859426317663746885955333709716796875	0.95565512433056820640331352478824555873870849609375	0.42510783039161037510922369619947858154773712158203125	0.90740010531958592565615617786534130573272705078125	-0.9017416125834822	0.6899618612222618	RAB3GAP1
GTEX-N7MS-2326-SM-2HMLD_thyroid_male_60-69_years	2/1557	0.468546477606347211430914967422722838819026947021484375	0.95565512433056820640331352478824555873870849609375	0.405229825735058002411648203633376397192478179931640625	0.90740010531958592565615617786534130573272705078125	-0.909768438662218	0.6897136278738809	SH3BGRL2;CCDC28A
GTEX-X3Y1-0226-SM-3P5Z5_heart_male_40-49_years	1/635	0.475657893818660693074917844569426961243152618408203125	0.95565512433056820640331352478824555873870849609375	0.434988402385947992012660279215197078883647918701171875	0.90740010531958592565615617786534130573272705078125	-0.9278976032466163	0.6894802467095538	KPNA4
GTEX-SIU8-0008-SM-4BRUC_skin_male_50-59_years	3/2430	0.445302200124816194293231319534243084490299224853515625	0.95565512433056820640331352478824555873870849609375	0.36538135292706452883493284389260224997997283935546875	0.90740010531958592565615617786534130573272705078125	-0.8501679002099751	0.6877876386391151	UBP1;RAB3GAP1;RAB11FIP5
GTEX-OXRO-0011-R9A-SM-3NB1X_brain_female_60-69_years	1/630	0.47294222681453190748612769311876036226749420166015625	0.95565512433056820640331352478824555873870849609375	0.432403863240164831882594853595946915447711944580078125	0.90740010531958592565615617786534130573272705078125	-0.9164293923911707	0.686205869942657	NKRF
GTEX-U3ZM-0226-SM-4DXTA_adrenal gland_male_40-49_years	2/1504	0.450153969946100296350977032489026896655559539794921875	0.95565512433056820640331352478824555873870849609375	0.388056576110396511669620167594985105097293853759765625	0.90740010531958592565615617786534130573272705078125	-0.8574274560381198	0.6843690993082119	GRSF1;CCDC28A
GTEX-TML8-1426-SM-4DXUT_esophagus_female_40-49_years	1/615	0.46471482706919797767142199518275447189807891845703125	0.95565512433056820640331352478824555873870849609375	0.424583321894283882702580967816174961626529693603515625	0.90740010531958592565615617786534130573272705078125	-0.8926426789060279	0.6840600572723339	CADPS2
GTEX-TMMY-1226-SM-4DXT6_esophagus_female_40-49_years	1/616	0.465267094470554087859426317663746885955333709716796875	0.95565512433056820640331352478824555873870849609375	0.42510783039161037510922369619947858154773712158203125	0.90740010531958592565615617786534130573272705078125	-0.8929035727361119	0.6831994912289577	CADPS2
GTEX-PLZ4-1226-SM-2I5FE_thyroid_female_50-59_years	3/2542	0.4762985699331354627616974539705552160739898681640625	0.95565512433056820640331352478824555873870849609375	0.393926832465631926449844968374236486852169036865234375	0.90740010531958592565615617786534130573272705078125	-0.9131601894302249	0.6773003852860431	SH3BGRL2;LZTFL1;CCDC28A
GTEX-XMD1-0011-R11A-SM-4AT5J_brain_male_60-69_years	4/3417	0.453726768740228159071392610712791793048381805419921875	0.95565512433056820640331352478824555873870849609375	0.35664513760861848989947020527324639260768890380859375	0.90740010531958592565615617786534130573272705078125	-0.8556572797432149	0.6761918015365069	CADPS2;RUSC1;NKRF;UBP1
GTEX-S4Z8-0726-SM-4GICB_esophagus_male_60-69_years	1/622	0.468569348549800090975026023443206213414669036865234375	0.95565512433056820640331352478824555873870849609375	0.42824544395141828090345370583236217498779296875	0.90740010531958592565615617786534130573272705078125	-0.8910035628211979	0.6754441095460578	CADPS2
GTEX-WH7G-0426-SM-3NMBJ_heart_male_40-49_years	1/648	0.48265655530849838061868695149314589798450469970703125	0.95565512433056820640331352478824555873870849609375	0.441656463809323274194440500650671310722827911376953125	0.90740010531958592565615617786534130573272705078125	-0.920004054893427	0.6701769021477479	KPNA4
GTEX-R55G-0126-SM-48FDS_adrenal gland_female_40-49_years	2/1518	0.4550426689087243570241980705759488046169281005859375	0.95565512433056820640331352478824555873870849609375	0.392609855370876115188139010570012032985687255859375	0.90740010531958592565615617786534130573272705078125	-0.8494215759364063	0.6688040432811748	GRSF1;CCDC28A
GTEX-UPIC-0626-SM-4IHK2_esophagus_female_20-29_years	1/623	0.46911783720402266961713166892877779901027679443359375	0.95565512433056820640331352478824555873870849609375	0.428766809993448572146945707572740502655506134033203125	0.90740010531958592565615617786534130573272705078125	-0.8769070983476195	0.6637321140022604	CADPS2
